listing_id,date,num_reviews,reviewers
32054402,01/01/2025,1,432448437
25347851,01/02/2025,1,408801779
34573425,01/12/2024,1,209572669
34573425,01/04/2025,1,23492370
34573425,01/09/2024,1,51342979
30005470,01/04/2025,1,10419581
40074444,01/10/2024,1,209464578
37855786,01/06/2025,1,146241767
34646333,01/12/2024,1,185432857
22369002,01/02/2025,1,45786768
22369002,01/10/2024,1,257215790
22369002,01/12/2024,1,35878758
8426540,01/04/2025,1,147387593
33036950,01/10/2024,2,"181,830,978,375,721,000"
24099993,01/07/2025,1,160659066
33036950,01/12/2024,1,370449548
22369002,01/11/2024,1,264619645
8426540,01/11/2024,1,214632643
24099993,01/06/2025,1,388537766
33036950,01/07/2025,1,526410823
38111850,01/10/2024,5,"15,840,435,155,217,000,000,000,000,000,000,000,000,000,000"
38683166,01/01/2025,2,"7,648,716,108,651,120"
1808465,01/01/2025,3,"155,239,340,171,379,000,000,000,000"
35055282,01/10/2024,2,"555,682,490,657,510,000"
40938632,01/06/2025,2,"934,581,767,723,080"
38683166,01/11/2024,1,32282501
35967943,01/05/2025,1,34849048
35967943,01/02/2025,1,125044715
39775530,01/05/2025,1,17169057
1808465,01/03/2025,3,"2,214,803,559,912,990,000,000,000"
35566505,01/09/2024,1,12860730
41370885,01/10/2024,1,135211423
35055282,01/02/2025,1,108220307
1808465,01/07/2025,1,131421547
41370885,01/09/2024,1,135211423
35055282,01/05/2025,1,466086973
35967943,01/06/2025,1,10588881
35967943,01/09/2024,2,"233,270,425,233,270,000"
39383042,01/02/2025,1,32818298
41370885,01/03/2025,1,42666507
35055282,01/04/2025,1,224374045
38683166,01/02/2025,1,38436347
38111850,01/12/2024,2,"664,812,661,433,265,000"
40938632,01/05/2025,3,"35,569,783,068,590,500,000,000,000"
1808465,01/09/2024,1,21371714
39775530,01/04/2025,1,284973807
41370885,01/06/2025,2,"408,537,419,413,944,000"
38111850,01/05/2025,1,28214702
38111850,01/01/2025,1,158404351
38111850,01/11/2024,3,"398,561,394,183,373,000,000,000,000"
41370885,01/01/2025,2,"316,046,643,316,046,000"
38683166,01/07/2025,2,"61,255,648,276,158,100"
35967943,01/08/2025,1,384719483
41370885,01/04/2025,1,685825136
1808465,01/08/2025,1,29030731
38111850,01/03/2025,1,26387604
1808465,01/11/2024,2,"5,578,813,746,033,480"
39383042,01/09/2024,1,305467193
41370885,01/11/2024,1,78829717
38683166,01/12/2024,2,"24,191,249,123,153,800"
40938632,01/09/2024,1,63499865
38111850,01/04/2025,1,433265636
39383042,01/08/2025,1,6823069
40938632,01/07/2025,2,"364,827,173,429,632,000"
38683166,01/10/2024,2,"24,846,212,679,648,600"
38111850,01/02/2025,4,"673,514,209,525,010,000,000,000,000,000,000,000"
35967943,01/11/2024,1,369378642
35566505,01/11/2024,1,3873741
