listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
2868580,01/10/2024,5,26,0.839,863,33.3,33.2,63,71,,4283,4296,111327
18641555,01/12/2024,31,0,0,0,51.6,,,,,,6683,0
2868580,01/07/2025,6,25,0.806,834,33.4,33.4,21,20,3,4315,4315,107756
41575313,01/11/2024,30,0,0,0,249.6,,,,,,32198,0
2868580,01/05/2025,14,17,0.548,584,33.9,34.4,82,17,3,4466,4402,75827
41575313,01/03/2025,31,0,0,0,258.3,,,,,,33193,0
18641555,01/10/2024,31,0,0,0,51,,,,,,6579,0
2868580,01/09/2024,15,15,0.5,495,33.1,33,19,15,,4263,4276,63944
41575313,01/08/2025,24,7,0.226,1327,190.4,189.6,47,7,1,24497,24600,171453
41575313,01/09/2024,30,0,0,0,224.6,,,,,,29014,0
34107982,01/10/2024,7,24,0.774,575,23.8,24,5,5,,3096,3070,74175
13669376,01/06/2025,22,8,0.267,201,25.1,25.1,352,3,,3243,3243,25970
13669376,01/02/2025,19,9,0.321,221,24.4,24.6,234,1,,3178,3152,28546
41575313,01/07/2025,29,2,0.065,395,185.5,197.5,41,2,1,25518,23967,51035
13669376,01/09/2024,19,11,0.367,276,25.2,25.1,332,1,,3242,3255,35654
34107982,01/05/2025,31,0,0,0,29.1,,,,2,,3778,0
18641555,01/04/2025,30,0,0,0,49.8,,,,2,,6449,0
18641555,01/11/2024,30,0,0,0,52,,,,,,6708,0
34107982,01/04/2025,30,0,0,0,25.9,,,,2,,3354,0
34107982,01/03/2025,28,3,0.097,72,23.8,24,1,3,2,3084,3058,9252
34107982,01/01/2025,28,3,0.097,73,23.8,24.3,6,3,2,3139,3074,9429
41575313,01/04/2025,30,0,0,0,200.6,,,,,,25978,0
34107982,01/09/2024,9,21,0.7,504,23.9,24,3,32,,3100,3087,65107
2868580,01/01/2025,14,17,0.548,555,32.7,32.6,34,33,3,4211,4224,71689
18641555,01/05/2025,31,0,0,0,49,,,,2,,6362,0
13669376,01/10/2024,25,6,0.194,146,24.1,24.3,288,1,,3135,3109,18834
41575313,01/01/2025,31,0,0,0,242.1,,,,,,31272,0
41575313,01/06/2025,23,7,0.233,1291,185.4,184.4,6,7,,23825,23954,166802
34107982,01/06/2025,30,0,0,0,30.5,,,,2,,3941,0
13669376,01/07/2025,31,0,0,0,24.3,,,,1,,3140,0
34107982,01/02/2025,23,5,0.179,120,24,24,1,5,2,3100,3100,15500
18641555,01/09/2024,17,13,0.433,659,50.5,50.7,2,13,,6549,6524,85129
34107982,01/07/2025,28,3,0.097,71,26.9,23.7,1,3,2,3062,3476,9173
34107982,01/11/2024,30,0,0,0,24,,,,,,3096,0
18641555,01/07/2025,31,0,0,0,49.2,,,,2,,6357,0
2868580,01/11/2024,0,30,1,999,33.3,33.3,,,,4296,4296,128871
1803821,01/07/2025,30,1,0.032,128,125.8,128,29,1,1,16538,16254,16538
1803821,01/11/2024,21,9,0.3,1166,128.8,129.6,7,4,,16718,16615,150414
1803821,01/03/2025,31,0,0,0,130.2,,,,1,,16731,0
1803821,01/05/2025,31,0,0,0,124.8,,,,1,,16204,0
1803821,01/06/2025,27,3,0.1,379,125.4,126.3,1,3,1,16318,16202,48968
1803821,01/12/2024,31,0,0,0,128.2,,,,,,16603,0
1803821,01/09/2024,27,3,0.1,382,129,127.3,41,5,,16445,16664,49347
